ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
NGO_0374	10194.9986450008	-1.05981220096824	0.293354998045956	-3.61272931440635	0.00030299095157304	0.00328309373553801	TRUE
NGO_0378	167.012857970803	-0.61776211123951	0.219420622191658	-2.81542411587873	0.00487128997137432	0.0273275912578517	FALSE
NGO_0383	1406.95658861067	-0.420536278232333	0.155762774243364	-2.69985097707163	0.00693705414744977	0.035981703807428	FALSE
NGO_0400	2631.4194778276	0.446270053290164	0.162796101248832	2.74128219205966	0.00611999212650536	0.0329313862045288	FALSE
NGO_0413	2432.36230808436	-0.277932126119554	0.107333725035103	-2.58942029663702	0.00961376753255126	0.0463688421844393	FALSE
NGO_0414	3360.1172048256	-0.606473533512011	0.174789441334688	-3.46973781071096	0.00052096664642608	0.00490576925384559	FALSE
NGO_0415	6872.7951724561	-0.452527011505804	0.140315225363709	-3.22507418801356	0.00125940028447972	0.00981463669973852	FALSE
NGO_0418	63.2607468162293	-1.12227814616198	0.363395951462811	-3.08830668488288	0.00201300613149102	0.0140289678414925	TRUE
NGO_0419	189.338950241946	-0.688329326947998	0.22911874781148	-3.00424707066904	0.00266239023310842	0.0176970644906618	FALSE
NGO_0704	2631.48754540356	-1.79468150952061	0.325229881948226	-5.51819377349313	3.42501658223014e-08	1.86840559761658e-06	TRUE
NGO_0710	371.274903356003	-0.516355086541373	0.143457465292793	-3.59936016914494	0.000319001110233913	0.00340986321885169	FALSE
NGO_0714	11438.8861011242	-0.661644686482828	0.166972360805574	-3.96260005722301	7.41379196780355e-05	0.00112775181664089	FALSE
NGO_0721	1044.00999038136	-0.599307145830816	0.155511156349223	-3.85378875638341	0.000116303950843714	0.001628255311812	FALSE
NGO_0738	379.454101858056	-0.779597552995827	0.217655066939001	-3.58180291393957	0.000341231183581933	0.00352828583285372	FALSE
NGO_0739	2279.9562779853	-0.6121036559487	0.161585593405315	-3.7881078569506	0.000151798952563191	0.00201803313407536	FALSE
NGO_0740	703.357725924724	-0.831946472162601	0.200087595448986	-4.15791129028143	3.21170687867451e-05	0.000597755327301538	FALSE
NGO_0748	429.571602601691	-0.43586776349308	0.136285536446547	-3.1981953100653	0.00138290584620363	0.0103196087202554	FALSE
NGO_0756	720.373235301728	0.55630680133147	0.19270111022035	2.88688944602003	0.00389070912595632	0.0233147796866019	FALSE
NGO_0757	4233.80266420839	-0.57335184345301	0.21132271911046	-2.71315760968093	0.00666454002196829	0.0349115970687213	FALSE
NGO_0758	3750.42206618815	0.484486882807294	0.171640360923113	2.82268622718827	0.00476231548744823	0.0269070825040825	FALSE
NGO_0760	801.049217751864	-0.490589335168792	0.171085246648518	-2.86751397200643	0.00413710536594426	0.0243858638888001	FALSE
NGO_0769	4309.63139260829	-0.50708273777869	0.125835856514898	-4.02971578866836	5.58443310917582e-05	0.000901487059052667	FALSE
NGO_0775	17204.0900520018	-1.1152533341403	0.19276930050183	-5.78543020718026	7.23269858419675e-09	5.20096780009058e-07	TRUE
NGO_0778	598.42037874004	0.467887332769521	0.116648664295015	4.01108178646769	6.04411663420638e-05	0.000965837627809545	FALSE
NGO_0781	5815.44710833629	-0.441568273832364	0.104974244978242	-4.20644391320831	2.5942042766066e-05	0.000506670514270572	FALSE
NGO_1427	397.456503959765	1.41001411167181	0.463204688914228	3.04404110195202	0.00233423246889718	0.0160554598512841	TRUE
NGO_1161	475.908706037476	0.63466171888189	0.224286028339312	2.82969796906716	0.004659196503312	0.0265138448497827	FALSE
NGO_1160	1718.48277963193	-0.461916030125429	0.123913181704916	-3.72773924266931	0.000193205124469525	0.00238789458524054	FALSE
NGO_1152	4400.37609158755	0.392184459364554	0.121707573071676	3.22235050347761	0.00127143495576853	0.00985985343149908	FALSE
NGO_1148	357.451794467418	-0.640678437067797	0.238680140859893	-2.68425531659076	0.00726915704860807	0.0372162021064659	FALSE
NGO_1615	274.865059714291	0.832227493588961	0.251863671470826	3.30427762260807	0.000952214856737282	0.00797039102306021	FALSE
NGO_1614	64.0385989259979	0.962899271713274	0.35446045919446	2.71652097359897	0.00659720150580722	0.0346736637281961	FALSE
NGO_1610	3021.76856963089	0.485272028436155	0.17535110246939	2.76743072385795	0.00565000521235679	0.0306106446779056	FALSE
NGO_1606	1162.03324261188	-0.443242034760946	0.147956182324557	-2.99576555570115	0.00273756818921395	0.017835189322155	FALSE
NGO_1603	273.569722384779	0.466332850399915	0.153864662804271	3.03079889755538	0.00243907640610023	0.0166319779071145	FALSE
NGO_1600	7963.99204297485	0.794055574146928	0.248726387600127	3.19248625692067	0.00141053656790405	0.0104694124667432	FALSE
NGO_0446	112.496903966704	-1.27769284230671	0.359797903197586	-3.55114032336386	0.000383565856423714	0.0038405138282425	TRUE
NGO_0445	85.7830329071859	-1.44532946480263	0.350711232292974	-4.1211382234694	3.77005136115635e-05	0.000663976656932981	TRUE
NGO_1877	6618.32291883578	-0.417981543524798	0.106904227548352	-3.90986917084964	9.23461230612653e-05	0.00130438898824037	FALSE
NGO_1875	1662.20575021099	-0.535961559825971	0.140466446695912	-3.81558423689783	0.00013586109703151	0.00185286427158491	FALSE
NGO_0462	1275.69457152769	-0.54274190374602	0.189552181247062	-2.86328492858973	0.00419273344649165	0.0244756616691874	FALSE
