"D55_130_T1_20180201"	"D55_130_T1_20181106"	"D55_PMN_130_T0_20180201"	"D55_PMN_130_T0_20181106"	"D55_PMN_130_T1_20180201"	"D55_PMN_130_T1_20181106"	"D60_130_T1_20180208"	"D60_130_T1_20181113"	"D60_PMN_130_T0_20180208"	"D60_PMN_130_T0_20181113"	"D60_PMN_130_T1_20180208"	"D60_PMN_130_T1_20181113"	"D6_130_T1_20180131"	"D6_130_T1_20181108"	"D6_PMN_130_T0_20180131"	"D6_PMN_130_T0_20181108"	"D6_PMN_130_T1_20180131"	"D6_PMN_130_T1_20181108"	"D55_H041_T1_20180201"	"D55_H041_T1_20190110"	"D55_PMN_H041_T0_20180201"	"D55_PMN_H041_T0_20190110"	"D55_PMN_H041_T1_20180201"	"D55_PMN_H041_T1_20190110"	"D60_H041_T1_20180208"	"D60_PMN_H041_T0_20180208"	"D60_PMN_H041_T0_20181212"	"D60_PMN_H041_T1_20180208"	"D60_PMN_H041_T1_20181212"	"D6_H041_T1_20180131"	"D6_PMN_H041_T0_20180131"	"D6_PMN_H041_T0_20190122"	"D6_PMN_H041_T1_20180131"	"D6_PMN_H041_T1_20190122"
"NGO_0372"	13.5494726895667	13.8735577480278	15.1449890984419	15.3332883386611	13.612106287068	15.3863677647736	13.2366568632606	13.4394602419162	15.8651723832656	14.6919491557845	15.3655488429005	14.6243491590597	13.0313662401948	13.9125350701206	15.2462584702269	15.1770859917534	15.0636240281671	14.4794816760891	13.6291874773346	13.2537697021713	15.5294911375841	14.5916037337694	14.338402283541	13.7766458783821	13.2065199092573	15.1646033652634	14.8530370187443	15.2772989900126	13.7838311977988	13.62781805151	15.5526166704389	14.5958824175345	14.787140736704	14.7460140440897
"NGO_0373"	10.5573871571634	11.2922521971169	13.3885275570148	12.9320866557649	11.712031509667	13.0419221841629	10.7865480967415	10.7121630518366	13.5112729958342	12.5479706643329	13.1051279087854	11.4495800281463	10.220992563341	11.4225282885152	13.3078684893569	13.0587752011198	12.3886999924579	12.0670557919492	10.3527509566321	10.0027667725185	13.4812540277521	12.0859488589571	12.5312095455593	10.9562515303056	10.2093901991913	12.9238903126571	12.4924286966539	13.0160231719663	11.1008474722682	10.247838187378	13.1381273512018	11.9692472424283	12.7036353496231	11.7437248062315
"NGO_0374"	11.6018319611482	11.9278824470472	14.3384223247037	14.6006865184811	12.3437119820126	13.8699654881373	11.8026134358414	11.4826009082295	14.7758666978279	13.9116389450754	14.1593131763403	12.5052128764773	11.0905019865892	11.836025973914	14.1542605753096	14.3542897900722	13.1867983317342	13.0401584954858	11.2228937793524	11.0799105596199	14.2263250223987	13.4684746729598	13.3445283578355	12.2955949201148	11.2495652399533	13.9083166354615	13.4071395065016	14.0652821949073	12.1710605790437	11.0322101164797	13.9408319759404	12.6084894294928	13.1982947148576	12.1348023032713
"NGO_0375"	12.5628881704477	12.1320229850966	10.9763706257619	11.3203646775698	11.1805487787606	11.6108617899481	12.1903341636853	11.8846309982496	11.6645901761181	11.5999546996215	11.1581152801356	11.7622629483473	12.9287633637644	12.4947600020643	11.3687279878715	11.4218915126781	11.1186704299684	11.6881747622545	13.3161180090355	12.7762556301405	10.4470632994576	11.4444569342743	10.8883695278469	12.6340205916964	12.8247331257735	11.0110091347965	11.2500078248965	10.987277697464	12.7693224139106	13.4625096717103	11.2177421517976	11.2029114155361	10.5490875586259	12.4427854602043
"NGO_0376"	12.0827390238383	12.2929577861954	11.1512206710985	10.8496049153495	11.3145396394903	11.8956039454773	12.3997481807285	12.5905615037123	13.0830121979025	11.8981798154901	11.4985621117451	10.7386506551536	12.7062735477757	11.8557114872003	11.6208869330536	11.9875173848343	11.604605245106	12.1829807840118	12.380052507866	13.0945327392764	11.3095349901492	12.5631555293437	11.9844136618104	13.1006941714807	12.9203378225104	12.0515905350018	11.7874370016249	11.959846644476	12.7607566105177	12.954162235776	12.0832612635985	11.9004141121048	11.7592359957315	12.408098874706
"NGO_0377"	11.1477965675652	10.7389632399192	9.68634331444039	9.63296493043508	9.76901089133986	9.50893596022625	10.5749808980185	10.7496435462209	9.67011059687739	9.52511297129852	9.65149037506588	10.1650132669331	10.7995066378121	11.1506951381652	9.72382835174469	9.8618373241112	9.24847894792152	9.35282112726126	11.1248414315241	11.4557162086436	10.5143330782457	10.4727397397687	10.9126122415856	10.570805540035	11.5638747605365	10.4276894025831	10.6850986868905	10.5520151776969	10.759493100906	11.4006298653359	10.2760325185669	10.4093354246708	10.9703486905307	10.3954540831354
"NGO_0378"	6.32122217804888	7.11595507674573	7.52655925542856	7.65355027022273	7.25266684386798	6.89878794520092	7.17961973162162	6.84727673532174	8.03887553052776	7.57788470328809	7.7983571530243	7.49733631569215	6.92907897081614	7.14060465801293	7.72784200168205	7.48235772551941	7.09835183167066	6.58061724387493	7.11176627845645	7.76077819443056	8.3416243827641	8.21487299455959	8.07303234271397	8.07029244954763	7.80660167707679	8.53350977930384	8.31386057912444	8.39180883423262	8.19581602442079	7.42853927253958	7.86457242314112	8.43562569013465	8.22158724188753	8.32763876534309
"NGO_0379"	9.65090241825426	9.81458233197058	9.68359184285614	9.66823323840086	9.52466095932593	9.23019450835428	9.43421125500013	9.72240784434953	9.19214010576969	9.25585041276935	9.19946525820591	9.12876338217076	9.91184104773474	9.42310515584809	9.36356821437376	9.54675900051267	9.43962558162969	9.00552153018728	9.35802874748356	9.68195163963914	9.70062247767187	9.48624510654474	9.798266783285	9.44572643487779	9.43606531657434	9.30915638383883	9.42721028694599	9.56764226844404	9.54921786069903	9.81136016243426	9.55108878888769	9.11033514320801	9.82999799645542	9.24357558339178
"NGO_0380"	6.12381033870714	6.64502574764132	7.29550116807806	7.59515022003212	7.08021864771507	6.91280718178291	7.48435534896625	6.98362327237849	7.39232488358764	6.95151786549747	7.63445237864846	7.34046277255158	6.56075712491808	6.95695839125889	7.6009149027603	6.98776694121913	6.84011072738953	6.69664427492391	6.53821749805174	6.98462654904871	7.13884854263606	6.61137486266334	7.57194362706241	6.8301624583204	7.06492383647033	7.53980731214761	7.00293939405146	7.83425150669608	6.92700618354272	6.69126076134872	6.75138485635562	7.67815189437988	7.53394142008371	7.74604281616035
"NGO_0381"	8.5457509526383	9.6200191577695	8.85598062292171	8.81956772489513	8.73774155348976	9.55020460147393	9.31491881395515	9.47960076226071	8.94004330064357	9.23207012658151	9.23428085035368	9.44017787882666	8.96368946069749	9.24687183565326	8.92813917903437	9.13502621306954	9.03192512729675	8.79426383887419	8.85515801633196	9.2365332874756	8.98582932101124	9.26268062534193	8.71967274048077	9.18266493421416	9.12515639101661	9.3534137137473	9.21922464130826	9.2394573059597	8.9207202632661	9.13214483855061	9.22428810488048	9.199934828675	8.63695382197423	9.03535723353099
