ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
NGO_0372	26156.0100655623	1.09257436924019	0.299051385268096	3.65346700621604	0.000258723047090759	0.00114971870926287	TRUE
NGO_0373	5092.34787816913	2.05759854132494	0.359832274137892	5.7182156499293	1.07648471214342e-08	1.43109144084948e-07	TRUE
NGO_0374	10194.9986450008	1.92952079569343	0.329619318029978	5.85378553425059	4.80508180379006e-09	7.30926866691911e-08	TRUE
NGO_0375	4040.19341754432	-1.15806191666224	0.317617534057903	-3.64608937632241	0.000266261401274769	0.00117660764473934	TRUE
NGO_0395	2240.45769177808	1.25843271408043	0.169016688642473	7.44561217112966	9.64958999517082e-14	4.9244036685033e-12	TRUE
NGO_0418	63.2607468162293	1.08061219068767	0.404301790451535	2.67278606280919	0.00752242071260999	0.0202045323724092	TRUE
NGO_0711	280.404988094838	-1.25739004635681	0.153869770942455	-8.1717808420411	3.03870166196081e-16	2.403613014611e-14	TRUE
NGO_0739	2279.9562779853	1.02414154879962	0.181652702281412	5.63790979125124	1.7212663088642e-08	2.23200270542883e-07	TRUE
NGO_0754	253.312995894222	-1.72028894820079	0.219668416944073	-7.83129851861579	4.82856667303424e-15	3.05551699069606e-13	TRUE
NGO_0773	1710.14479292628	1.18368384026956	0.159421936189231	7.42484923068899	1.12908453522422e-13	5.58191167101475e-12	TRUE
NGO_0777	27208.8944607883	-1.1581746251059	0.317542406657055	-3.64730694491689	0.000265003283388084	0.00117432827540602	TRUE
NGO_1422	3448.04198860202	-1.7707291888019	0.235597587867047	-7.51590542514878	5.65184008446491e-14	3.08317621159431e-12	TRUE
NGO_1410	402.256004928692	1.30568202050183	0.272589731497238	4.78991638214023	1.66850828112067e-06	1.41085283094122e-05	TRUE
NGO_1404	3890.41386764034	-1.08348464029826	0.251138100174079	-4.31429814730313	1.6011074744826e-05	0.000104236708832571	TRUE
NGO_1614	64.0385989259979	-1.46710831126222	0.414448127042273	-3.53990817073369	0.000400266280154312	0.00168409908298969	TRUE
NGO_1830	7000.50684147781	1.52100292859782	0.363595408913015	4.18322919187821	2.87397390830379e-05	0.000172875540796068	TRUE
NGO_18311	8760.47969810618	1.22555252547568	0.2821154510209	4.34415244199047	1.39814405573213e-05	9.21609956736759e-05	TRUE
NGO_1832	24250.9948789425	1.34131248546977	0.224326464928249	5.97928775768295	2.24115354482996e-09	3.77920906496366e-08	TRUE
NGO_1833	4692.15977365215	1.3898402451496	0.360910641151382	3.85092620354921	0.000117671955743937	0.000592856796136651	TRUE
NGO_1834	2289.3479151301	1.27255375176714	0.498800179326685	2.55122953942181	0.0107343602501332	0.0272580383879787	TRUE
NGO_0694	2114.31329472347	1.16718043518464	0.317566066922781	3.67539405735201	0.000237482575356399	0.00107342124061092	TRUE
NGO_0446	112.496903966704	1.46250851164795	0.406745922185372	3.5956316508108	0.000323605422703773	0.00140057985266723	TRUE
NGO_1868	857.033311029172	1.37991484399478	0.274610656774715	5.0249865034438	5.03467942162803e-07	4.74098978869973e-06	TRUE
NGO_1867	9264.90172625865	1.19005412602931	0.257938552567681	4.61371173166156	3.95540925936176e-06	3.03760070306326e-05	TRUE
NGO_1861	270.76893405141	2.4528953170546	0.423842617403609	5.78727861789982	7.15358721360638e-09	1.02881590653866e-07	TRUE
NGO_1857	1679.58243682055	1.97729310836566	0.275549156513728	7.17582711332723	7.18713317482173e-13	3.24858419501942e-11	TRUE
NGO_1853	35416.4148782691	1.16422289143994	0.282366152876303	4.12309648157424	3.73813029127419e-05	0.000216619857904607	TRUE
NGO_1851	64032.4511128416	1.22235734797278	0.231308298845927	5.28453736451099	1.26022826545819e-07	1.37495249376197e-06	TRUE
NGO_0462	1275.69457152769	1.16732794087438	0.213863982840022	5.45827270853544	4.80788818291192e-08	5.63413267064197e-07	TRUE
NGO_1090	357.812245492583	-1.19998420150521	0.261179583258188	-4.59447934840671	4.33831087551226e-06	3.29961913704827e-05	TRUE
NGO_0647	1076.14932296608	1.49714310635763	0.314038719535665	4.76738380723017	1.86633564485993e-06	1.56219205829017e-05	TRUE
NGO_0649	53.0697303026244	1.49026855632915	0.302099553365656	4.93303793311258	8.09604243492718e-07	7.31882236117417e-06	TRUE
NGO_0650	46806.2764112582	2.30967067962707	0.370678109636867	6.23093357708585	4.63663682466945e-10	9.6515256008251e-09	TRUE
NGO_0653	98.4990949064936	-1.31254487889031	0.319498157003558	-4.10814538399887	3.98849018004321e-05	0.000226944428804002	TRUE
NGO_0654	1701.36274335519	-1.00621658105373	0.22133798272622	-4.5460637558008	5.4658485706675e-06	3.95416974503402e-05	TRUE
NGO_0658	318.961675161364	-1.42210840604396	0.341068824184666	-4.1695643377654	3.05182456827589e-05	0.000182878275265623	TRUE
NGO_0676	3078.76632715838	1.09173168399255	0.222277668472847	4.91156710205422	9.03513562476701e-07	8.12135486271671e-06	TRUE
NGO_0678	587.98950260502	-1.48340167874855	0.419392257811197	-3.5370268552176	0.000404658517343745	0.00169806306216924	TRUE
NGO_1924	815.740248030635	-1.64372091753658	0.235464340042523	-6.98076369967416	2.9357974953659e-12	1.10861704295798e-10	TRUE
NGO_1931	7861.7109241709	-2.35778443265313	0.20912089453767	-11.2747434342502	1.74887703400593e-29	1.38336173389869e-26	TRUE
NGO_1945	487.347894337926	1.05828448785898	0.275022009158985	3.8479992604781	0.000119086412803931	0.000598078428748632	TRUE
NGO_1948	2511.06579197637	2.13436520860604	0.348809055066736	6.11900745580609	9.41599993636991e-10	1.7524837528632e-08	TRUE
