"D55_130_T1_20180201"	"D55_130_T1_20181106"	"D55_PMN_130_T0_20180201"	"D55_PMN_130_T0_20181106"	"D55_PMN_130_T1_20180201"	"D55_PMN_130_T1_20181106"	"D60_130_T1_20180208"	"D60_130_T1_20181113"	"D60_PMN_130_T0_20180208"	"D60_PMN_130_T0_20181113"	"D60_PMN_130_T1_20180208"	"D60_PMN_130_T1_20181113"	"D6_130_T1_20180131"	"D6_130_T1_20181108"	"D6_PMN_130_T0_20180131"	"D6_PMN_130_T0_20181108"	"D6_PMN_130_T1_20180131"	"D6_PMN_130_T1_20181108"
"F9Z35_0001.p01"	9.9586821036915	10.1497642097015	10.5843245436811	10.4194812296535	10.4093268244866	10.744369488075	10.019076242392	9.96277313608753	10.1280794153521	10.1430667264883	10.5137637798934	10.3019528933952	10.4660565559156	9.84261852371638	10.6473455539177	10.4144616198366	10.4422158865912	10.7124856148482
"F9Z35_0002.p01"	11.9207091236219	11.8406146750723	12.4866713154715	12.0614240250299	12.2366188490433	12.4242359171984	11.6781266037351	11.7890082352095	12.0739797926229	11.9926643081462	12.0346123205639	12.0023890093275	11.9773134907139	11.6230362415334	12.3318996983731	12.3172405416255	12.0640759376565	12.5768665693841
"F9Z35_0003.p01"	5.87980797725159	5.55717035348951	7.29541807600843	5.14918620080832	6.30193978722454	7.1543587804297	5.77085888595552	6.02077099685328	6.28929862041882	7.32776594357522	6.02061705078477	4.80089727244008	5.38888156139808	5.24662950310011	5.55154117381284	7.21191238731812	6.72623447686726	5.87594601950929
"F9Z35_0004.p01"	10.7444236481278	11.0878459601641	11.0853391316827	11.0375841607045	10.833888427438	11.4455905846509	10.4137005612702	11.1027873107333	10.5332876486356	11.3673248946101	10.9501152364557	11.2112359480686	10.6426340155871	11.2013203594279	10.5713037120961	11.1797410141	10.8881080106471	10.864517863396
"F9Z35_0005.p01"	4.83980198602725	5.25850238106174	4.95222796484642	5.40851824155069	5.365699396562	5.63397179435097	5.43656856605529	5.02054311999899	5.08197160985277	5.27206090150488	5.06040788851876	5.68914672167105	4.85876302221853	5.66697165296913	5.6316658260404	5.3421748941153	5.19010399192406	4.94407501414657
"F9Z35_0006.p01"	7.24344698316787	7.57533892160109	7.36301048368719	6.65231903199886	7.43875484444934	7.27354994313709	7.93473670495672	7.04791401177371	7.01862031156583	7.33870865458793	7.22419186622581	7.00383877100792	7.33618346653931	7.49703109077249	7.28139476467883	7.06663775881913	7.51802787681579	7.14206100459018
"F9Z35_0007.p01"	7.2836944237457	7.7889120358829	6.94838154415834	7.21865319427607	7.53748722624547	7.4044822831756	7.71508378007268	7.31970667729269	6.75665900379797	6.83289184384795	7.13303186155995	7.04879371411281	7.36896668124837	7.78831458912696	7.08732245424814	6.95649233659788	6.79118902295671	7.64555278792761
"F9Z35_0008.p01"	11.9895718549783	11.7883123577203	10.6639833245462	11.2322813920099	11.4290888214402	11.8911688300614	11.9822616120385	11.4421658330341	11.090325034028	11.3850956853177	11.4619115516357	11.2803001843722	11.7777542406979	12.058210885499	10.6775278968217	11.1214758594411	11.284639712807	12.0030884307458
"F9Z35_0009.p01"	10.0179070314478	9.20982672001407	8.10620123371855	7.78720293886081	9.11831098735979	8.35730104562102	9.65135317352915	9.04637362922633	7.98421533923667	7.7356210844248	8.302030131894	8.41740695860597	9.88431052482898	8.95409441170965	8.24213307976957	7.73824380086851	8.66951394243446	9.04695857508766
"F9Z35_0010.p01"	11.8632694005104	11.195829498582	10.478345552761	10.2033018392018	11.0032210879122	10.865776446112	11.2477145262312	11.2322125600345	10.3792258467252	10.1857576251161	10.1467362103196	10.3381510461996	11.636364854587	11.0767112068708	10.7483013445174	10.2346988747095	10.9109877760771	11.5334267179754
