ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
F9Z35_0012	171.277551468594	-1.13166499535294	0.286830312439503	-3.94541631854767	7.96614494241018e-05	0.000640741500682835	TRUE
F9Z35_0025	19.8132742008268	-1.03452570943865	0.431587652529208	-2.39702341662482	0.0165288673602987	0.049586602080896	TRUE
F9Z35_0047	12.3639115801264	-1.85590538119127	0.735738586763365	-2.5225065187293	0.0116521790480967	0.0378464257476336	TRUE
F9Z35_0052	111.837680497315	-1.15307717531647	0.258889252870344	-4.45393990879162	8.43087056533421e-06	9.78651623010102e-05	TRUE
F9Z35_0073	356.657333019307	-1.58223772183527	0.229692572901401	-6.88850188688715	5.63829863873908e-12	3.03132739972209e-10	TRUE
F9Z35_0088	24.7366186684004	-1.14628245644602	0.436102387533393	-2.62847094905722	0.00857696810844991	0.0295749993181805	TRUE
F9Z35_0104	399.367240090077	-1.09992024196729	0.307917140576165	-3.57213060601028	0.000354088734401286	0.00220549781823728	TRUE
F9Z35_0124	7250.85237060222	-1.26079759763737	0.203557256123139	-6.19382291572388	5.87221995235544e-10	2.1047272566074e-08	TRUE
F9Z35_0128	3397.67386652239	1.08293133640243	0.150949329639506	7.17413809646367	7.27641337926136e-13	4.12936459273082e-11	TRUE
F9Z35_0134	998.020121358942	-1.27423845691835	0.170377040218166	-7.47893293184748	7.49284980930985e-14	4.93802972916775e-12	TRUE
F9Z35_0135	389.22023283613	-1.08982796179632	0.236412832485409	-4.60985112499585	4.02957424590586e-06	5.04158346034032e-05	TRUE
F9Z35_0140	8180.97979877267	-1.08343685514477	0.303532348663994	-3.56942797007814	0.000357761565232832	0.00222160145219051	TRUE
F9Z35_0160	518.32019106489	-1.06030770851146	0.159748565708438	-6.63735354248284	3.19365017222867e-11	1.59137251264955e-09	TRUE
F9Z35_0176	36.2897596335076	-1.79677185828684	0.395716877814837	-4.5405489606829	5.61079471641466e-06	6.78275361280186e-05	TRUE
F9Z35_0190	6053.987883197	1.4001953477974	0.232736435897314	6.0162275081637	1.78528618157343e-09	5.78942804595957e-08	TRUE
F9Z35_0216	4761.91795871362	-1.23695735205192	0.193197179222877	-6.4025642456453	1.52788801546332e-10	6.46378020988016e-09	TRUE
F9Z35_0223	701.390725780217	-1.31824519140298	0.249353660477746	-5.28664864545121	1.24577590957452e-07	2.4952158659419e-06	TRUE
F9Z35_0226	60.7413270348125	-1.2828632873284	0.339194790965455	-3.78208428165116	0.000155520683753316	0.00111876322854938	TRUE
F9Z35_0257	16.0483145283913	1.03800750446718	0.402973213881659	2.57587221361072	0.00999875913164328	0.0335301948022812	TRUE
F9Z35_0271	829.469980302003	1.06507729141999	0.273231002465557	3.89808360621249	9.69569442340285e-05	0.000756042126221833	TRUE
F9Z35_0285	841.289687083938	2.29932121269392	0.409122462776435	5.62012947685638	1.90814402027713e-08	4.99786953003355e-07	TRUE
F9Z35_0286	450.497443304061	1.59661913415627	0.61876855909468	2.58031716493851	0.00987096106927798	0.0332230205346539	TRUE
F9Z35_0302	7596.67866474627	-3.07828521782864	0.266751145007288	-11.5399137939765	8.30083692151566e-31	2.42265854723664e-28	TRUE
F9Z35_0310	101.446889976443	-1.41915825725387	0.249425034275514	-5.68971860172734	1.27248893285174e-08	3.51310120245419e-07	TRUE
F9Z35_0311	261.819788132703	-1.17952180059984	0.270501718488524	-4.36049651436828	1.29767649316158e-05	0.000143305571650222	TRUE
F9Z35_0314	13.848193018907	1.84763386898488	0.521311967304977	3.54419998937791	0.000393806406210128	0.00240163130712624	TRUE
F9Z35_0332	2322.75301402743	1.49134308740788	0.307901660552371	4.84356948492071	1.2752709473507e-06	1.88795546770832e-05	TRUE
F9Z35_0339	1714.60610152368	1.18390118933352	0.206610695096152	5.73010602758272	1.00367878772958e-08	2.80892570319389e-07	TRUE
F9Z35_0349	26.4529611198658	-1.27720923553494	0.323093468905017	-3.95306423204245	7.71567143050095e-05	0.000628012618825237	TRUE
F9Z35_0353	262.190282916525	-1.51331039941511	0.244449803457411	-6.19067955061278	5.99053857789068e-10	2.11011557148804e-08	TRUE
F9Z35_0361	772.933557696315	-1.37336773359323	0.161310356076023	-8.51382246621525	1.6829161167742e-17	2.02246919209982e-15	TRUE
F9Z35_0362	166.101268490351	-1.56765280159673	0.290799716087964	-5.39083332915819	7.01316982462867e-08	1.50820062649646e-06	TRUE
F9Z35_0369	2385.74430593737	-1.20719411253487	0.182845867670606	-6.60224990542096	4.04964089496283e-11	1.9240503135835e-09	TRUE
F9Z35_0397	258.050358960055	-1.34882266923793	0.151431650595455	-8.90713839500615	5.23666706096431e-19	8.91542567129174e-17	TRUE
F9Z35_0412	403.007337945708	-1.23141269329068	0.241579735403789	-5.09733439037191	3.44469539699147e-07	6.0149681162851e-06	TRUE
F9Z35_0435	356.048716636103	-1.04302634116151	0.131358640095461	-7.94029490868299	2.01701105657421e-15	1.96226361361005e-13	TRUE
F9Z35_0462	954.050714750788	-1.37666721302113	0.301479338199694	-4.56637334167575	4.96234640102615e-06	6.03456767696216e-05	TRUE
F9Z35_0463	93.1609782403941	-1.21595743695511	0.289158079961203	-4.20516499873792	2.60891756910585e-05	0.000262562492299668	TRUE
F9Z35_0477	398.649674503898	-1.03827325560468	0.346405863997928	-2.99727390183813	0.00272405841799911	0.0115942736416087	TRUE
F9Z35_0487	450.862798418066	-1.16820929957861	0.207124249483023	-5.64013775545079	1.69914172335766e-08	4.5082422608048e-07	TRUE
F9Z35_0495	361.193511400789	-1.06852561140336	0.305326414532825	-3.49961732933685	0.000465926505660875	0.00275909522047875	TRUE
F9Z35_0503	44769.0333169791	1.20789726929153	0.305316336065554	3.95621565769145	7.6146425359243e-05	0.000624767658670415	TRUE
F9Z35_0516	1510.46589985504	1.61802410981712	0.255629134296651	6.32957629915317	2.45835309138963e-10	9.84787326609611e-09	TRUE
F9Z35_0517	7243.44362515955	1.12830845188607	0.214242730649904	5.26649585011989	1.39052388670949e-07	2.75809737917232e-06	TRUE
F9Z35_0518	1113.41002336246	1.46679632822717	0.217667369391103	6.7387056329589	1.59803779267134e-11	8.37125951391681e-10	TRUE
F9Z35_0519	2821.87949138185	1.44836882247016	0.171511787898192	8.44471881623609	3.04778167034106e-17	3.4592321958371e-15	TRUE
F9Z35_0523	783.497354924561	1.37033638741946	0.247223621691323	5.54290232480466	2.97498830587046e-08	7.41207452304066e-07	TRUE
F9Z35_0538	97.5778015736697	-1.10155147280213	0.415796901873903	-2.64925368091413	0.0080669753478008	0.02831757841161	TRUE
F9Z35_0540	217.578153920139	-1.10812312349203	0.440370685348147	-2.51634171020257	0.0118580152133395	0.0382716036032427	TRUE
F9Z35_0550	114.866021651111	-2.68074432462001	0.251050749726851	-10.6780972673323	1.28886241713556e-26	3.29143239775994e-24	TRUE
F9Z35_0561	14.8390926116914	-1.02205294510941	0.397131179288381	-2.57359028555962	0.0100649382755093	0.0335991321844208	TRUE
F9Z35_0576	5209.80834982111	-1.07961365999034	0.201715737130509	-5.35215385447016	8.69134508517688e-08	1.81187938867514e-06	TRUE
F9Z35_0581	578.123763048205	-1.06015446955208	0.318687636473788	-3.32662566167445	0.000879043749572537	0.00461667449968302	TRUE
F9Z35_0589	1071.54194645833	1.01005152921955	0.240182561915507	4.20534913594132	2.60679427967163e-05	0.000262562492299668	TRUE
F9Z35_0596	2268.25195442529	-1.190488479928	0.37258788460228	-3.19518838139032	0.00139739596862794	0.00674912521018173	TRUE
F9Z35_0633	105.494708711382	-1.02278509506732	0.277805291436789	-3.68166167670006	0.000231718772950653	0.00155798433325028	TRUE
F9Z35_0674	35.5560370737798	-1.45697803986314	0.371393164187017	-3.92300715349051	8.7450553725e-05	0.000697896411172559	TRUE
