ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
F9Z36_0185	438.640252992847	1.73550670778855	0.249809483616862	6.94732114514246	3.72287585891152e-12	1.55541753385323e-09	TRUE
F9Z36_0249	21729.7196733261	1.14917274406757	0.30753645952633	3.7367040832737	0.000186448129373223	0.00505831353585277	TRUE
F9Z36_0268	974.751413954291	1.96115781838342	0.303284251145996	6.46640176986753	1.00364016555607e-10	2.3295603398296e-08	TRUE
F9Z36_0317	7949.37836950211	1.43690726088322	0.249911216057295	5.7496709573603	8.94172981939866e-09	1.09878079957199e-06	TRUE
F9Z36_0402	19.5842932699826	1.41949763407949	0.412312389088343	3.44277220778671	0.000575784079454699	0.0127958823614986	TRUE
F9Z36_0488	364.26252343947	1.23542320927409	0.36568264343602	3.37840264352127	0.000729082432235941	0.0145052685803893	TRUE
F9Z36_0489	1878.79250518	1.7400991350595	0.5277483176927	3.29721398765829	0.00097649072658659	0.01806555793134	TRUE
F9Z36_0501	4346.56813597966	1.73815977105312	0.235795349616781	7.37147604428166	1.68749091053623e-13	1.18577061788898e-10	TRUE
F9Z36_0585	985.338959274021	1.03647436358275	0.235326593849811	4.40440813180785	1.06073079544209e-05	0.00048171013732142	TRUE
F9Z36_0851	1788.51217757544	2.67571063714216	0.264696793929702	10.1085872534322	5.06087687987655e-24	1.05721718020621e-20	TRUE
F9Z36_1030	23639.6398761468	1.22600623210996	0.206711849086445	5.93099155915951	3.01110694725553e-09	4.83861724062832e-07	TRUE
F9Z36_1050	1707.76340417934	1.07969419064555	0.242694863935939	4.44877231077514	8.63625068651828e-06	0.000413752746899191	TRUE
F9Z36_1057	3767.8387520798	1.0634006950084	0.235124411298571	4.52271497091833	6.10514291003408e-06	0.000311064476562468	TRUE
F9Z36_1058	42.7450057716145	-1.09547740099132	0.263705481842615	-4.15416999804774	3.26470400827718e-05	0.00123999394059837	TRUE
F9Z36_1174	829.19544139463	1.65676395580381	0.319084084543752	5.19224880229537	2.07769092986261e-07	1.97286197840136e-05	TRUE
F9Z36_1179	1013.15173708897	1.09243669566971	0.205731722499714	5.31000607196699	1.09621582740137e-07	1.14499743172073e-05	TRUE
F9Z36_1180	615.707017244662	1.13857909630663	0.226835876852386	5.01939601488859	5.18341944922963e-07	4.16467816516949e-05	TRUE
F9Z36_1253	2440.9792516551	1.33136530563973	0.19768008415268	6.73494910398477	1.63987326738988e-11	4.89385036511065e-09	TRUE
F9Z36_1254	289.416511217545	1.75855789525762	0.269684283830373	6.52080228881163	6.99323154636831e-11	1.82610758754543e-08	TRUE
F9Z36_1438	10568.7183693848	-1.10155130473311	0.173223609860531	-6.35912913730415	2.02900777070608e-10	4.238597233005e-08	TRUE
F9Z36_1442	2329.85850353238	1.72118282714658	0.29742674011204	5.78691353204564	7.16914578089779e-09	9.98423035753032e-07	TRUE
F9Z36_1458	311.94086918811	1.09379029009185	0.232845496785363	4.69749385404738	2.63373107249603e-06	0.000152829561401228	TRUE
F9Z36_1463	790.255382064498	1.0718526268394	0.17993110943917	5.95701671701061	2.56883975193884e-09	4.47192186816686e-07	TRUE
F9Z36_1546	5361.45759782001	1.82202237058531	0.386763707456312	4.71094452622891	2.46571351740564e-06	0.000147167872510296	TRUE
F9Z36_1598	1678.11989946976	2.25523698293548	0.30599125614363	7.3702661028879	1.70287786197556e-13	1.18577061788898e-10	TRUE
F9Z36_1599	13663.8212321509	1.29539014302218	0.264995848152543	4.88834127799805	1.01689135600667e-06	7.58673586677833e-05	TRUE
F9Z36_1600	982.305833867186	1.48812884535452	0.208821995854509	7.12630314285153	1.03100516818902e-12	5.38442449086716e-10	TRUE
F9Z36_1601	278.838135747759	1.41106252994834	0.245029763257028	5.75873931065339	8.47444599305875e-09	1.09878079957199e-06	TRUE
F9Z36_1602	272.70942843652	1.01920645044788	0.22164921548334	4.59828584651356	4.25981276931529e-06	0.000222468721877491	TRUE
F9Z36_1657	1679.41580036554	1.05334291907154	0.205904155923019	5.11569528234946	3.12587351259e-07	2.61197990712021e-05	TRUE
F9Z36_1659	1335.69979805735	1.04358666699911	0.231547181677192	4.50701519854389	6.57459259145123e-06	0.000327007712465277	TRUE
F9Z36_1660	7965.58040847789	1.02532826223954	0.198488626214905	5.16567766018697	2.39569349168287e-07	2.15360962788682e-05	TRUE
F9Z36_1675	3274.51501400991	2.45879209361014	0.356405026952073	6.89887040774198	5.24176607103278e-12	1.82500822039791e-09	TRUE
F9Z36_1676	1245.16365402028	1.74570886204159	0.326471090863832	5.34720810171125	8.93212984849969e-08	9.82064171237676e-06	TRUE
F9Z36_1760	97.7168637252493	1.36972018331435	0.331630924302948	4.1302546986333	3.62361555018854e-05	0.0013517380150614	TRUE
F9Z36_1761	8.85071287815821	2.02431088503416	0.594443011188281	3.40539100794136	0.00066069380825791	0.0140723669936647	TRUE
F9Z36_1878	7298.63182033392	1.11884729653751	0.273184357120178	4.09557599978285	4.21120046372359e-05	0.00153547520497572	TRUE
